City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Norman Wells,CA,2021-06-23 16:03:01,65.282,-126.8329,65.41,47,82,5.59
68,Bonthe,SL,2021-06-23 16:03:03,7.5264,-12.505,83.23,73,99,7.58
69,Kabompo,ZM,2021-06-23 16:03:08,-13.5927,24.2008,68.23,35,32,0.43
70,Asosa,ET,2021-06-23 16:03:09,10.0667,34.5333,63.68,88,32,3.0
71,Xining,CN,2021-06-23 16:01:35,36.6167,101.7667,65.53,55,99,5.3
72,Sao Mateus,BR,2021-06-23 16:03:11,-18.7161,-39.8589,81.05,46,20,12.12
73,Manzanillo,CU,2021-06-23 16:03:12,20.3433,-77.1167,85.95,67,76,4.9
74,Hovd,MN,2021-06-23 16:03:13,48.0056,91.6419,57.42,24,4,12.19
75,Kashi,CN,2021-06-23 16:03:14,39.4547,75.9797,79.11,17,6,9.26
76,Timmins,CA,2021-06-23 16:03:14,48.4669,-81.3331,53.06,68,88,8.77
77,Hasaki,JP,2021-06-23 16:03:17,35.7333,140.8333,66.6,78,79,8.68
78,Tocopilla,CL,2021-06-23 16:03:17,-22.092,-70.1979,63.5,63,24,4.99
79,Lazurne,UA,2021-06-23 16:03:19,46.084,32.5295,79.25,78,82,10.89
80,Port Alfred,ZA,2021-06-23 16:03:22,-33.5906,26.891,62.33,78,11,12.55
81,Nikolskoye,RU,2021-06-23 16:03:23,59.7035,30.7861,93.09,36,45,10.42
82,Praia,CV,2021-06-23 16:03:24,14.9215,-23.5087,82.94,57,75,18.41
83,Roma,US,2021-06-23 16:01:29,43.2128,-75.4557,67.86,53,40,5.75
84,Kodiak,US,2021-06-23 16:03:32,57.79,-152.4072,49.51,87,90,31.07
85,Dikson,RU,2021-06-23 16:03:33,73.5069,80.5464,34.21,92,88,6.6
86,Mount Gambier,AU,2021-06-23 16:03:34,-37.8333,140.7667,44.4,94,12,7.2
87,Khatanga,RU,2021-06-23 16:03:35,71.9667,102.5,54.55,46,87,14.52
88,Nome,US,2021-06-23 16:02:11,64.5011,-165.4064,54.16,93,100,3.6
89,Mount Darwin,ZW,2021-06-23 16:03:36,-16.7725,31.5838,63.99,43,17,3.94
90,Bethel,US,2021-06-23 16:03:37,41.3712,-73.414,71.49,51,1,1.99
91,Lorengau,PG,2021-06-23 16:03:41,-2.0226,147.2712,81.16,78,77,4.83
92,Sorong,ID,2021-06-23 16:03:42,-0.8833,131.25,78.15,87,78,8.63
93,Honiara,SB,2021-06-23 16:03:42,-9.4333,159.95,77.31,90,31,4.27
94,Maceio,BR,2021-06-23 16:00:49,-9.6658,-35.7353,78.24,83,75,5.75
95,Castro,BR,2021-06-23 16:03:44,-24.7911,-50.0119,60.85,70,50,10.04
96,Necochea,AR,2021-06-23 16:03:07,-38.5473,-58.7368,56.03,80,100,15.95
97,Binzhou,CN,2021-06-23 16:03:46,37.3667,118.0167,75.54,64,100,7.36
98,Hobart,AU,2021-06-23 16:01:52,-42.8794,147.3294,52.11,87,84,1.01
99,Shingu,JP,2021-06-23 16:03:47,33.7333,135.9833,69.91,91,0,3.94
100,Port Lincoln,AU,2021-06-23 16:03:50,-34.7333,135.8667,56.14,77,99,26.4
101,Motala,SE,2021-06-23 16:03:50,58.5371,15.0365,67.78,72,64,4.7
102,Butaritari,KI,2021-06-23 16:03:52,3.0707,172.7902,84.4,64,97,10.85
103,Tiksi,RU,2021-06-23 16:03:54,71.6872,128.8694,36.72,84,64,17.45
104,Katobu,ID,2021-06-23 16:03:55,-4.9408,122.5276,74.55,92,32,2.66
105,Coahuayana,MX,2021-06-23 16:03:56,18.7333,-103.6833,83.68,71,99,0.49
106,Paignton,GB,2021-06-23 16:03:56,50.4357,-3.5679,70.05,58,65,8.01
107,Chokurdakh,RU,2021-06-23 16:03:57,70.6333,147.9167,66.58,40,8,7.02
108,Saint-Augustin,CA,2021-06-23 16:03:58,51.226,-58.6502,57.25,98,100,6.44
